week_number,air_avg,air_obs,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_02,soil_avg_08,soil_avg_20
160,16.17142857,13.82857143,26.0,26.42857143,28.0,26.0,26.42857143,28.0
161,27.55714286,25.74285714,27.0,26.85714286,28.0,27.14285714,26.85714286,28.0
162,28.61428571,24.95714286,28.0,27.85714286,28.71428571,28.0,27.85714286,28.85714286
163,39.27142857,36.38571429,31.0,30.42857143,30.28571429,31.28571429,30.71428571,30.57142857
164,40.04285714,36.18571429,32.28571429,31.0,31.0,32.71428571,31.0,31.28571429
165,39.45714286,36.4,34.42857143,32.14285714,32.0,35.42857143,32.0,32.0
166,46.01428571,41.71428571,37.71428571,35.0,32.0,39.0,34.14285714,32.0
167,42.54285714,40.7,38.42857143,37.0,32.0,38.57142857,35.85714286,32.0
168,45.17142857,40.61428571,38.57142857,37.0,33.0,40.0,36.57142857,33.14285714
169,52.75714286,49.2,44.28571429,42.28571429,36.42857143,45.28571429,41.42857143,36.57142857
170,50.14285714,46.54285714,45.85714286,44.28571429,38.57142857,46.66666667,43.5,38.83333333
171,52.64285714,50.85714286,46.14285714,45.0,40.0,46.57142857,44.0,40.0
172,47.07142857,43.95714286,43.83333333,43.5,39.66666667,31.0,29.33333333,26.66666667
173,57.74285714,52.52857143,46.71428571,45.14285714,40.28571429,48.14285714,44.85714286,40.57142857
174,59.21428571,55.74285714,49.71428571,49.28571429,43.85714286,51.14285714,48.28571429,43.85714286
175,48.21428571,48.27142857,47.42857143,46.71428571,43.42857143,47.42857143,46.0,43.14285714
176,43.68571429,41.54285714,42.57142857,43.0,41.0,43.14285714,42.28571429,41.0
177,44.02857143,42.21428571,41.42857143,41.28571429,39.85714286,42.28571429,40.57142857,39.85714286
178,39.67142857,38.08571429,40.57142857,40.71428571,39.85714286,40.57142857,40.0,39.71428571
179,36.22857143,36.38571429,37.71428571,38.0,38.14285714,37.57142857,37.42857143,37.85714286
180,38.8,37.22857143,36.28571429,37.14285714,36.71428571,36.28571429,36.71428571,36.57142857
181,39.51428571,39.07142857,36.85714286,37.28571429,36.28571429,37.0,36.57142857,36.42857143
182,35.05714286,35.7,36.0,36.14285714,36.0,35.71428571,35.71428571,36.0
183,36.1,34.82857143,32.57142857,33.0,34.14285714,32.28571429,32.85714286,34.0
184,24.82857143,25.51428571,27.57142857,31.85714286,32.71428571,27.57142857,31.57142857,32.57142857
185,29.98571429,29.15714286,29.71428571,31.0,32.0,30.14285714,30.85714286,32.0
186,30.54285714,31.02857143,30.57142857,31.28571429,32.0,30.71428571,31.42857143,32.0
187,21.32857143,24.75714286,30.0,30.85714286,32.0,29.57142857,30.85714286,32.0
188,18.78571429,16.6,26.57142857,29.42857143,32.0,26.57142857,29.42857143,32.0
189,10.52857143,12.07142857,26.71428571,29.0,32.0,26.71428571,29.0,32.0
190,20.17142857,18.71428571,28.57142857,29.71428571,31.85714286,28.71428571,29.85714286,32.0
191,14.18571429,12.18571429,29.14285714,30.14285714,31.42857143,29.14285714,30.14285714,31.42857143
192,17.34285714,18.91428571,29.0,30.0,31.0,29.0,30.0,31.0
193,16.88571429,18.88571429,28.85714286,29.85714286,31.0,28.85714286,29.85714286,31.0
194,4.371428571,4.5,26.57142857,28.42857143,30.42857143,26.42857143,28.28571429,30.28571429
195,-0.071428571,1.128571429,26.71428571,28.0,30.0,26.57142857,28.0,30.0
196,12.82857143,9.728571429,25.57142857,27.0,29.0,25.71428571,27.0,29.0
197,-4.342857143,-3.3,25.85714286,27.28571429,29.0,25.57142857,26.85714286,29.14285714
198,-4.2,-4.314285714,22.71428571,24.57142857,27.42857143,22.85714286,24.57142857,27.42857143
199,-2.614285714,-3.685714286,24.14285714,25.42857143,27.57142857,24.0,25.28571429,27.57142857
200,20.92857143,20.88571429,25.14285714,25.71428571,27.57142857,25.28571429,25.85714286,27.71428571
201,2.642857143,2.314285714,25.28571429,26.42857143,28.14285714,25.14285714,26.42857143,28.0
202,17.35714286,17.08571429,25.85714286,26.42857143,28.0,25.85714286,26.57142857,28.0
203,5.442857143,6.142857143,25.0,26.28571429,27.71428571,25.0,26.14285714,27.57142857
204,13.37142857,9.585714286,24.28571429,25.28571429,27.0,24.33333333,25.33333333,27.0
205,18.7,20.84285714,24.14285714,24.85714286,26.71428571,24.14285714,24.85714286,26.71428571
206,21.21428571,20.6,24.14285714,24.57142857,26.0,24.14285714,24.71428571,26.0
207,23.84285714,22.24285714,25.28571429,25.28571429,26.71428571,25.42857143,25.28571429,26.85714286
208,28.7,25.57142857,26.14285714,26.0,27.0,26.28571429,26.28571429,27.0
209,26.16666667,27.43333333,27.0,27.0,27.85714286,27.0,27.0,28.0
210,14.82857143,12.72857143,25.0,25.42857143,26.85714286,24.66666667,25.5,26.83333333
211,27.61428571,25.74285714,26.42857143,26.14285714,26.85714286,26.57142857,26.14285714,26.85714286
212,24.62857143,23.91428571,27.0,27.0,27.71428571,27.0,27.0,27.8
213,30.01428571,24.11428571,27.57142857,27.0,28.0,27.6,27.0,28.0
214,25.37142857,23.37142857,29.0,28.71428571,28.85714286,29.0,28.66666667,29.0
215,39.14285714,36.08571429,31.0,29.85714286,29.71428571,31.0,29.83333333,29.83333333
216,45.48571429,42.75714286,32.0,31.0,31.0,32.28571429,31.0,31.0
217,50.02857143,48.7,38.42857143,33.14285714,31.57142857,39.28571429,33.14285714,31.71428571
218,46.15714286,42.77142857,38.14285714,36.0,32.0,39.28571429,35.0,32.0
219,49.52857143,45.37142857,40.42857143,38.71428571,32.28571429,41.42857143,37.71428571,32.42857143
220,51.42857143,47.21428571,43.0,41.57142857,35.14285714,44.0,40.71428571,35.28571429
221,57.65714286,54.41428571,46.85714286,44.71428571,38.42857143,47.5,43.83333333,38.5
222,56.71428571,52.9,47.0,45.85714286,40.0,47.83333333,44.66666667,40.0
223,58.94285714,54.14285714,49.14285714,47.57142857,41.71428571,50.6,46.4,41.4
224,56.3,55.22857143,49.28571429,48.14285714,43.0,50.33333333,47.33333333,42.83333333
225,55.07142857,51.27142857,47.83333333,47.16666667,42.83333333,48.6,46.6,42.8
226,51.62857143,50.1,49.42857143,48.42857143,44.14285714,49.33333333,47.16666667,44.16666667
227,48.25714286,46.17142857,47.0,46.14285714,43.14285714,47.5,45.5,43.33333333
228,48.35714286,46.17142857,46.14285714,46.14285714,43.28571429,46.85714286,45.28571429,43.14285714
229,39.65714286,38.62857143,43.14285714,43.71428571,42.57142857,42.85714286,42.85714286,42.42857143
230,39.01428571,36.22857143,39.57142857,40.57142857,39.71428571,39.71428571,39.71428571,39.57142857
231,42.82857143,41.0,40.42857143,40.85714286,39.57142857,41.14285714,40.42857143,39.57142857
232,47.61428571,44.35714286,40.85714286,41.28571429,40.0,42.0,41.0,40.0
233,38.42857143,38.15714286,38.71428571,40.14285714,39.14285714,38.71428571,39.28571429,39.14285714
234,32.44285714,30.84285714,34.71428571,35.42857143,36.71428571,34.57142857,35.28571429,36.42857143
235,31.2,30.82857143,32.0,32.42857143,34.0,32.0,32.42857143,33.57142857
236,23.15714286,22.92857143,32.0,32.0,33.0,32.0,32.0,33.0
237,18.22857143,18.9,31.85714286,32.0,33.0,31.71428571,32.0,32.85714286
238,18.14285714,16.71428571,30.57142857,32.0,32.0,30.42857143,32.0,32.0
239,26.42857143,26.42857143,31.0,32.0,32.0,31.0,32.0,32.0
240,16.57142857,17.28571429,30.57142857,32.0,32.0,30.57142857,32.0,32.0
241,12.0,11.42857143,29.42857143,31.0,32.0,29.33333333,31.0,32.0
242,-9.714285714,-9.857142857,26.42857143,30.0,32.0,26.14285714,29.71428571,32.0
243,15.71428571,16.0,29.14285714,30.57142857,32.0,29.42857143,30.57142857,32.0
244,11.0,12.0,29.71428571,30.57142857,32.0,29.71428571,30.71428571,32.0
245,10.0,8.428571429,29.57142857,30.42857143,32.0,29.42857143,30.42857143,32.0
246,16.0,18.42857143,29.42857143,30.42857143,32.0,29.42857143,30.42857143,32.0
247,-11.42857143,-10.42857143,26.42857143,29.14285714,31.28571429,26.28571429,28.85714286,31.14285714
248,-8.714285714,-13.28571429,24.28571429,27.14285714,29.71428571,24.28571429,27.0,29.57142857
249,-16.71428571,-12.57142857,24.85714286,26.71428571,29.0,24.57142857,26.71428571,29.0
250,-5.0,-6.714285714,21.85714286,24.42857143,27.42857143,21.83333333,24.33333333,27.33333333
251,1.571428571,2.571428571,23.0,24.85714286,27.0,23.0,24.85714286,27.0
252,-19.57142857,-17.14285714,22.42857143,24.28571429,27.0,22.2,24.4,26.8
253,-12.14285714,-16.71428571,20.0,22.28571429,25.57142857,20.14285714,22.14285714,25.57142857
254,6.714285714,8.714285714,23.28571429,23.57142857,25.85714286,23.6,23.8,26.0
255,-10.57142857,-14.0,21.71428571,23.71428571,26.14285714,21.66666667,23.66666667,26.16666667
256,3.857142857,12.8,22.0,23.0,25.0,22.0,23.0,25.25
257,-9.714285714,-10.42857143,19.42857143,21.57142857,23.71428571,20.0,21.66666667,24.0
258,-5.285714286,-7.0,19.42857143,20.42857143,22.71428571,19.5,20.33333333,22.5
259,8.0,3.857142857,19.42857143,20.57142857,22.57142857,20.0,20.66666667,22.33333333
260,17.28571429,17.85714286,22.28571429,22.0,23.57142857,22.5,22.25,24.0
261,-0.857142857,-0.714285714,22.0,22.57142857,24.0,22.5,22.5,24.0
262,14.14285714,12.85714286,20.85714286,21.28571429,23.0,20.75,21.5,23.0
263,19.85714286,16.57142857,21.42857143,21.71428571,23.0,21.0,21.33333333,23.0
264,31.42857143,31.42857143,24.85714286,24.42857143,24.71428571,25.28571429,24.85714286,24.85714286
265,19.0,15.42857143,28.42857143,28.0,27.85714286,28.0,27.5,28.0
266,24.42857143,20.71428571,26.42857143,26.42857143,27.42857143,26.66666667,27.0,27.66666667
267,47.85714286,44.42857143,30.57142857,29.42857143,29.0,32.0,31.0,31.0
268,29.14285714,26.85714286,32.0,31.0,31.0,32.0,31.0,31.0
269,47.42857143,42.14285714,34.42857143,31.42857143,31.14285714,36.0,32.0,31.33333333
270,48.28571429,45.28571429,38.71428571,35.14285714,32.0,39.75,34.5,32.0
271,50.28571429,45.71428571,39.42857143,38.0,32.0,40.25,36.5,32.0
272,53.57142857,50.71428571,43.71428571,41.28571429,34.57142857,44.5,40.5,34.5
273,48.85714286,47.71428571,44.85714286,42.85714286,37.85714286,44.83333333,41.83333333,38.0
274,44.85714286,41.85714286,41.42857143,41.0,37.42857143,42.0,40.5,37.75
275,50.14285714,45.14285714,43.0,42.42857143,38.0,40.0,39.0,37.0
