week_number,air_avg,air_obs,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_02,soil_avg_08,soil_avg_20
174,55.92857143,54.01428571,50.28571429,49.0,44.85714286,51.42857143,48.57142857,44.71428571
175,41.01428571,40.2,45.0,46.14285714,44.0,44.85714286,45.0,43.57142857
176,35.7,32.67142857,38.71428571,40.14285714,39.57142857,39.85714286,39.71428571,39.0
177,44.04285714,42.25714286,39.71428571,40.0,38.42857143,41.14285714,39.71428571,38.42857143
178,40.15714286,37.85714286,39.14285714,40.71428571,39.28571429,40.42857143,40.0,39.14285714
179,34.48571429,32.6,35.42857143,36.71428571,36.57142857,35.85714286,36.42857143,36.28571429
180,40.51428571,38.71428571,36.0,36.85714286,35.71428571,37.0,36.57142857,35.57142857
181,42.47142857,41.27142857,36.14285714,37.57142857,36.57142857,36.57142857,36.71428571,36.42857143
182,27.88571429,28.04285714,32.85714286,33.85714286,34.14285714,32.85714286,33.57142857,33.85714286
183,38.51428571,36.67142857,31.28571429,32.0,32.28571429,31.14285714,32.0,32.14285714
184,34.8,34.51428571,30.57142857,31.42857143,31.85714286,30.57142857,31.42857143,31.71428571
185,25.58571429,27.18571429,29.57142857,31.0,31.0,29.71428571,31.0,31.0
186,25.71428571,23.62857143,30.0,31.0,31.0,30.0,31.0,31.0
187,13.07142857,12.82857143,29.42857143,31.0,31.0,29.57142857,30.85714286,31.0
188,21.67142857,19.94285714,29.0,30.0,31.0,29.0,30.0,31.0
189,9.671428571,12.07142857,28.14285714,29.57142857,30.85714286,28.14285714,29.57142857,30.71428571
190,20.05714286,16.45714286,27.14285714,28.42857143,29.57142857,27.14285714,28.42857143,30.0
191,-6.028571429,-4.428571429,27.71428571,28.71428571,29.57142857,27.57142857,28.57142857,29.57142857
192,16.65714286,18.62857143,27.57142857,28.42857143,29.0,27.42857143,28.42857143,29.0
193,-4.957142857,-2.685714286,26.42857143,27.42857143,29.0,26.14285714,27.42857143,28.85714286
194,-12.35714286,-13.14285714,24.14285714,26.14285714,27.71428571,24.28571429,26.0,27.71428571
195,-11.31428571,-12.27142857,24.14285714,25.71428571,27.0,23.85714286,25.57142857,27.0
196,9.371428571,7.357142857,23.42857143,25.0,26.42857143,23.71428571,25.0,26.14285714
197,-5.742857143,-2.928571429,23.57142857,25.14285714,26.14285714,23.28571429,24.85714286,26.42857143
198,-9.642857143,-12.87142857,21.0,22.71428571,24.71428571,21.0,22.71428571,24.57142857
199,1.8,2.628571429,21.85714286,23.42857143,24.71428571,22.0,23.42857143,24.71428571
200,18.81428571,19.82857143,22.57142857,23.14285714,24.42857143,22.71428571,23.57142857,24.42857143
201,7.071428571,5.971428571,22.85714286,24.0,24.85714286,22.85714286,24.0,25.0
202,20.01428571,19.78571429,23.71428571,24.57142857,25.0,23.85714286,24.57142857,25.0
203,2.857142857,0.785714286,22.14285714,23.14285714,24.42857143,22.0,23.28571429,24.28571429
204,20.07142857,17.77142857,21.42857143,22.57142857,23.71428571,21.71428571,22.57142857,23.71428571
205,23.5,24.55714286,23.0,23.71428571,24.0,23.0,23.71428571,24.0
206,8.571428571,10.5,22.85714286,24.0,24.0,22.85714286,23.85714286,24.0
207,16.98571429,14.7,22.57142857,23.28571429,24.0,22.42857143,23.28571429,24.0
208,21.05714286,19.81428571,22.85714286,23.57142857,24.14285714,23.14285714,23.71428571,24.14285714
209,23.0,23.02857143,24.42857143,25.0,25.0,24.71428571,25.0,25.14285714
210,6.2,3.528571429,24.0,24.85714286,25.42857143,24.0,24.71428571,25.28571429
211,21.48571429,18.87142857,24.14285714,24.42857143,25.0,24.14285714,24.57142857,25.0
212,8.542857143,6.271428571,24.57142857,25.0,25.14285714,24.6,25.0,25.0
213,27.91428571,21.78571429,25.14285714,25.57142857,25.71428571,25.14285714,25.57142857,25.71428571
214,23.95714286,23.07142857,26.14285714,26.0,26.0,26.0,26.0,26.0
215,35.07142857,31.6,27.57142857,27.28571429,26.71428571,27.57142857,27.42857143,27.0
216,45.2,39.84285714,31.14285714,30.14285714,28.85714286,32.0,30.14285714,28.85714286
217,47.94285714,43.32857143,34.85714286,32.42857143,30.0,37.71428571,32.57142857,30.28571429
218,46.31428571,41.62857143,39.0,38.42857143,32.85714286,42.42857143,37.85714286,33.0
219,46.91428571,42.92857143,41.14285714,40.85714286,36.14285714,43.85714286,40.14285714,36.14285714
220,40.65714286,37.27142857,39.14285714,39.42857143,36.57142857,41.0,39.0,36.28571429
221,50.85714286,47.17142857,45.57142857,45.14285714,40.71428571,47.57142857,44.28571429,40.57142857
222,53.4,48.74285714,46.57142857,46.14285714,41.85714286,49.42857143,45.85714286,41.85714286
223,58.42857143,53.5,50.42857143,49.85714286,44.57142857,53.42857143,49.42857143,44.71428571
224,55.97142857,51.11428571,50.57142857,50.57142857,46.28571429,53.0,50.14285714,46.28571429
225,52.3,47.58571429,49.0,49.28571429,46.28571429,51.28571429,48.71428571,46.14285714
226,54.54285714,52.45714286,50.14285714,49.85714286,46.85714286,51.0,49.42857143,46.57142857
227,44.4,43.8,44.71428571,45.85714286,44.0,45.57142857,45.14285714,43.57142857
228,45.08571429,42.51428571,43.0,44.28571429,42.57142857,44.42857143,43.71428571,42.28571429
229,36.37142857,36.34285714,40.42857143,42.0,41.14285714,40.57142857,41.28571429,40.71428571
230,36.05714286,34.61428571,35.14285714,36.14285714,36.42857143,35.71428571,36.0,36.14285714
231,42.4,37.52857143,37.42857143,38.42857143,37.14285714,38.85714286,38.28571429,37.14285714
232,47.42857143,45.28571429,39.57142857,40.42857143,38.85714286,41.0,40.0,39.0
233,33.31428571,32.97142857,35.42857143,37.57142857,37.14285714,35.85714286,36.71428571,37.0
234,26.51428571,24.92857143,32.57142857,33.28571429,33.85714286,32.28571429,33.14285714,33.71428571
235,31.01428571,31.0,31.42857143,32.0,32.28571429,31.14285714,32.0,32.14285714
236,25.17142857,23.34285714,31.0,31.57142857,32.0,31.0,31.57142857,32.0
237,21.28571429,21.71428571,31.0,31.0,31.28571429,31.0,31.0,31.28571429
238,19.0,18.57142857,31.0,31.0,31.0,31.0,31.0,31.0
239,19.85714286,16.71428571,30.42857143,31.0,31.0,30.57142857,31.0,31.0
240,13.0,15.57142857,30.28571429,31.0,31.0,30.28571429,31.0,31.0
241,12.0,16.14285714,29.71428571,30.71428571,31.0,29.57142857,30.57142857,31.0
242,-13.28571429,-13.28571429,27.14285714,28.85714286,30.57142857,27.0,28.71428571,30.57142857
243,1.333333333,0.0,26.14285714,27.42857143,29.14285714,26.14285714,27.42857143,29.14285714
244,8.285714286,10.85714286,27.0,28.0,29.0,27.0,28.0,29.0
245,10.28571429,7.142857143,26.71428571,27.57142857,28.71428571,26.85714286,27.71428571,28.71428571
246,23.0,24.28571429,27.0,27.57142857,28.42857143,26.71428571,27.57142857,28.42857143
247,-9.857142857,-8.142857143,22.42857143,24.42857143,27.0,22.42857143,24.28571429,26.71428571
248,-26.0,-25.57142857,17.85714286,20.0,23.28571429,17.85714286,19.71428571,23.0
249,-21.14285714,-22.42857143,19.14285714,20.57142857,22.42857143,19.14285714,20.71428571,22.28571429
250,4.428571429,5.0,19.85714286,21.14285714,22.28571429,19.85714286,21.28571429,22.42857143
251,10.85714286,9.142857143,20.57142857,21.71428571,22.85714286,20.42857143,21.71428571,22.85714286
252,-22.28571429,-18.85714286,18.85714286,20.28571429,21.85714286,18.71428571,20.14285714,21.85714286
253,-24.85714286,-25.28571429,16.0,17.57142857,20.14285714,16.0,17.57142857,20.14285714
254,-16.57142857,-19.71428571,17.0,18.14285714,20.0,17.0,18.14285714,20.0
255,-6.0,-8.857142857,14.85714286,16.28571429,18.57142857,14.85714286,16.14285714,18.28571429
256,0.285714286,2.0,17.28571429,17.85714286,19.0,17.28571429,18.0,19.14285714
257,-11.71428571,-12.14285714,16.14285714,17.42857143,18.85714286,16.14285714,17.28571429,18.85714286
258,-9.285714286,-10.14285714,14.42857143,15.85714286,17.71428571,14.0,15.71428571,17.71428571
259,14.42857143,9.571428571,15.28571429,15.85714286,17.28571429,15.57142857,16.14285714,17.28571429
260,17.85714286,16.0,19.14285714,19.14285714,19.71428571,18.71428571,19.42857143,19.71428571
261,-0.285714286,0.571428571,19.85714286,20.0,20.57142857,19.71428571,20.0,20.57142857
262,13.0,11.57142857,19.85714286,20.14285714,21.0,20.0,20.28571429,21.0
263,15.14285714,11.42857143,19.57142857,20.0,21.0,19.71428571,20.14285714,21.0
264,21.0,21.14285714,21.57142857,21.71428571,21.71428571,21.71428571,21.71428571,21.71428571
265,9.571428571,7.571428571,22.0,22.85714286,22.57142857,22.0,23.0,22.85714286
266,23.0,18.57142857,22.0,23.0,23.0,22.0,23.0,23.0
267,37.71428571,35.57142857,24.42857143,24.42857143,23.57142857,24.71428571,24.42857143,23.85714286
268,21.85714286,20.57142857,27.85714286,27.57142857,26.85714286,27.85714286,27.57142857,26.85714286
269,44.57142857,42.0,29.14285714,28.57142857,27.42857143,29.14285714,28.57142857,27.57142857
270,47.71428571,43.0,31.85714286,30.42857143,29.14285714,34.71428571,30.57142857,29.42857143
271,48.85714286,46.28571429,38.85714286,36.28571429,31.0,41.42857143,36.0,31.14285714
272,52.42857143,46.71428571,43.42857143,41.57142857,36.14285714,46.14285714,41.42857143,36.14285714
273,45.14285714,43.14285714,43.28571429,42.71428571,38.57142857,44.85714286,42.0,38.28571429
274,47.0,42.85714286,42.57142857,42.42857143,38.42857143,45.0,42.0,38.28571429
275,49.57142857,41.71428571,42.71428571,43.28571429,39.85714286,46.71428571,43.14285714,39.57142857
276,46.14285714,41.85714286,44.42857143,45.14285714,41.57142857,47.0,44.42857143,41.14285714
277,41.71428571,38.57142857,43.14285714,44.14285714,41.14285714,44.85714286,43.28571429,40.71428571
278,44.28571429,42.0,42.28571429,42.42857143,39.85714286,43.71428571,41.71428571,39.71428571
279,45.57142857,43.71428571,42.85714286,43.0,40.71428571,44.42857143,42.71428571,40.57142857
280,49.85714286,46.14285714,44.71428571,44.85714286,41.57142857,47.14285714,44.57142857,41.57142857
281,51.85714286,46.57142857,44.0,45.0,42.0,46.42857143,44.57142857,42.0
282,52.28571429,49.42857143,45.0,45.57142857,43.0,47.0,44.85714286,42.85714286
283,36.0,35.0,40.42857143,42.0,41.14285714,41.28571429,41.42857143,40.71428571
284,40.14285714,37.85714286,37.57142857,39.14285714,38.42857143,39.28571429,38.85714286,38.0
285,32.14285714,32.57142857,34.85714286,35.71428571,36.14285714,34.42857143,35.42857143,35.57142857
286,34.42857143,34.28571429,32.28571429,33.14285714,33.42857143,32.14285714,33.0,33.28571429
287,22.85714286,22.28571429,31.57142857,32.0,32.28571429,31.57142857,32.0,32.28571429
288,35.28571429,36.85714286,31.0,32.0,32.0,31.0,32.0,32.0
289,15.14285714,16.71428571,30.71428571,31.14285714,31.28571429,30.71428571,31.0,31.14285714
290,16.85714286,15.14285714,30.0,31.0,31.0,30.0,31.0,31.0
291,20.42857143,21.14285714,30.0,31.0,31.0,30.0,31.0,31.0
292,7.142857143,8.285714286,30.0,31.0,31.0,30.0,31.0,31.0
293,14.85714286,12.57142857,30.0,31.0,31.0,30.0,31.0,31.0
294,8.285714286,9.142857143,29.0,30.0,31.0,28.71428571,30.0,31.0
295,20.85714286,21.0,29.14285714,30.0,30.71428571,29.0,30.0,30.71428571
296,4.857142857,5.428571429,28.28571429,29.42857143,30.0,28.42857143,29.28571429,30.0
297,1.714285714,5.571428571,27.42857143,28.57142857,30.0,27.42857143,28.57142857,30.0
298,-3.142857143,-3.571428571,26.71428571,27.85714286,29.0,26.57142857,27.71428571,29.0
299,-9.142857143,-11.0,23.42857143,25.42857143,27.85714286,23.14285714,25.42857143,27.57142857
300,15.14285714,15.42857143,24.28571429,25.71428571,27.0,24.57142857,25.85714286,27.0
301,-12.14285714,-9.285714286,22.71428571,24.71428571,26.28571429,22.71428571,24.57142857,26.28571429
302,12.42857143,12.0,22.28571429,23.57142857,25.42857143,22.71428571,23.71428571,25.42857143
303,6.0,5.857142857,22.14285714,23.42857143,25.0,22.16666667,23.5,24.83333333
304,14.0,14.71428571,23.71428571,24.57142857,25.57142857,23.71428571,24.42857143,25.42857143
