week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_00,soil_avg_02,soil_avg_08,soil_avg_20
84,21.65714286,20.35714286,31.42857143,27.28571429,31.14285714,33.42857143,31.71428571,27.57142857,31.0,33.28571429
85,32.27142857,33.84285714,32.71428571,29.0,31.0,33.0,32.71428571,29.14285714,31.0,33.0
86,14.14285714,14.1,30.42857143,26.42857143,30.57142857,33.0,30.28571429,26.28571429,30.42857143,33.0
87,-1.642857143,0.128571429,29.14285714,24.42857143,29.14285714,32.42857143,28.66666667,24.33333333,29.16666667,32.16666667
88,-7.042857143,-7.185714286,28.0,24.85714286,28.57142857,32.0,28.0,24.71428571,28.57142857,32.0
89,9.528571429,7.814285714,27.57142857,24.14285714,28.28571429,31.42857143,27.57142857,24.14285714,28.28571429,31.42857143
90,19.11428571,18.64285714,29.71428571,26.57142857,28.57142857,31.0,30.0,26.85714286,28.71428571,31.0
91,11.75714286,11.92857143,30.85714286,28.14285714,29.42857143,31.0,30.71428571,27.85714286,29.42857143,31.0
92,20.62857143,20.02857143,31.0,28.71428571,29.57142857,31.0,31.28571429,29.14285714,29.71428571,31.0
93,10.47142857,11.42857143,31.57142857,29.57142857,30.0,31.0,31.42857143,29.57142857,30.0,31.0
94,-6.671428571,-3.7,31.0,29.0,30.0,31.0,31.14285714,29.0,30.0,31.0
95,-4.428571429,-8.157142857,30.57142857,28.28571429,29.57142857,31.0,30.71428571,28.14285714,30.0,31.0
96,24.91428571,25.24285714,31.57142857,28.85714286,29.71428571,31.0,31.71428571,28.85714286,30.0,31.0
97,23.72857143,24.77142857,32.0,29.0,30.0,31.0,32.0,29.0,30.0,31.0
98,4.142857143,1.371428571,31.14285714,28.85714286,30.0,31.0,31.0,28.85714286,30.0,31.0
99,13.7,16.0,31.71428571,29.0,30.0,31.0,31.71428571,29.0,30.0,31.0
100,16.74285714,16.04285714,31.28571429,29.0,30.0,31.0,31.42857143,29.14285714,30.0,31.0
101,-5.728571429,-6.871428571,32.0,29.28571429,30.0,31.0,32.0,29.28571429,30.0,31.0
102,4.528571429,3.142857143,31.0,28.57142857,29.28571429,31.0,31.0,28.28571429,29.57142857,31.0
103,-0.971428571,-3.957142857,30.14285714,28.28571429,29.0,31.0,30.14285714,28.14285714,29.14285714,31.0
104,11.45714286,7.428571429,30.0,28.0,29.0,30.85714286,30.0,28.0,29.0,30.5
105,31.32857143,29.27142857,31.28571429,29.14285714,29.57142857,30.71428571,31.28571429,29.28571429,29.71428571,30.57142857
106,29.27142857,27.47142857,32.42857143,30.0,30.0,31.0,32.28571429,30.0,30.0,31.0
